Price,temp
4.005,-1
4.011,-0.3
3.412,0
3.239,-0.3
3.551,-0.7
3.611,-1.2
3.772,-2.1
4.013,-2.6
4.63,-3.6
4.787,-4.1
3.972,-4.8
3.473,-5.7
3.246,-6.6
3.075,-7
2.99,-7.4
2.743,-8.1
2.616,-8.6
2.506,-8.4
2.512,-8.8
2.68,-8.1
3.396,-4.1
4.044,-2.3
3.9,-2.5
3.898,-2.5
3.78,-2.5
3.345,-2.6
3.113,-2.4
3.003,-2.3
3.077,-2.3
3.267,-2.3
3.134,-3.8
3.271,-4.2
3.461,-3.9
3.637,-3.7
3.022,-2.9
2.917,-2.1
2.743,-1.3
2.566,-0.9
2.348,-0.2
2.304,0
1.68,0.4
1.654,0.5
1.655,0.9
2.217,0.9
2.553,0.9
3.029,1
3.114,0.8
3.184,1.2
3.206,1
3.243,0.4
3.218,-0.3
3.185,0.1
3.169,0.2
3.124,0
3.09,-0.4
3.095,-1.1
3.203,-1.5
3.268,-2.3
3.194,-2.9
3.052,-3.4
3.012,-3.8
2.908,-4.5
2.701,-4.9
2.638,-4.8
2.47,-5.9
2.424,-1.7
2.437,-1.8
2.652,-4.3
2.893,-5.1
3.081,-5.6
3.267,-5.3
3.348,-4.7
3.309,-4.4
3.278,-4.4
3.239,-4.7
3.171,-4.8
3.12,-4.2
3.092,-4.1
3.083,-5.2
3.098,-5.8
3.178,-6.1
3.247,-6.2
3.185,-6.3
3.126,-6.4
3.1,-6.5
3.093,-7.1
3.057,-7.7
2.928,-7.9
2.909,-8
2.894,-8.2
2.91,-8.2
2.964,-8
2.953,-7.9
3.071,-7.9
3.084,-7.9
3.116,-7.3
3.146,-6.7
3.131,-5.4
3.106,-3.9
3.02,-2.8
2.954,-1.5
2.947,-1.2
2.959,-1.1
3.016,-1.7
3.138,-2.1
3.125,-2.5
3.078,-2.8
2.988,-3.3
2.975,-3.7
2.88,-4
2.691,-4.2
2.673,-4.1
2.615,-3.6
2.51,-3
2.504,-3.1
2.62,-2.5
2.717,-0.5
2.776,-0.5
2.804,-0.9
2.89,-1
2.92,-0.9
2.979,-1.1
2.975,-0.7
2.952,-0.8
2.93,-0.6
2.919,-0.6
2.91,-0.8
2.965,-0.9
3.064,-1.1
3.176,-1.1
3.098,-1.3
3.041,-1.5
3.006,-1.6
2.911,-2
2.772,-2.4
2.748,-2.8
2.64,-2.9
2.59,-3.7
2.643,-5.3
2.844,-5.9
3.895,-5.1
3.995,-4.7
4.039,-3.4
4.138,-3
5.201,-2.6
4.134,-2.4
3.894,-1.9
3.253,-1.5
3.82,-0.8
3.821,-0.3
3.677,-0.6
3.496,-0.7
3.707,0
3.815,0.1
3.236,0.2
3.062,0.2
2.892,0.4
2.727,0.4
2.488,0.5
2.417,0.7
2.386,0.9
2.363,1.2
2.358,1.5
2.48,1.6
2.862,1.7
3.051,1.5
3.166,1.8
